Date,Teams,Location,Time/Results,Links
Sat Sep 5,vs. Orange Effect VMI Lane Stadium/Worsham Field,"Blacksburg, Va. / Lane Stadium/Worsham Field",W 73-3,Recap: https://hokiesports.com/news/2026/09/6/hokies-race-out-to-big-lead-defeat-vmi-73-3-saturday-night | Box Score: https://hokiesports.com/boxscore/22958 | Watch Opens in a new window: https://www.espn.com/watch/player/_/id/969360be-9c4b-4a06-af7f-e25577832c04
Sat Sep 12,vs. White Effect Old Dominion Lane Stadium/Worsham Field,"Blacksburg, Va. / Lane Stadium/Worsham Field",W 44-21,Recap: https://hokiesports.com/news/2026/09/12/reynolds-grunkemeyer-lead-hokies-to-44-21-victory-over-odu-saturday | Box Score: https://hokiesports.com/boxscore/22959 | Watch Opens in a new window: https://www.espn.com/watch/player/_/id/d2bf3f26-496a-40af-800b-e2c088f10123
Sat Sep 19,at Maryland SECU Stadium,"College Park, Md. / SECU Stadium",7 :30 PM EDT,Watch Opens in a new window: https://www.foxsports.com/live/fs1 | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live | Listen Opens in a new window: https://hokiesports.com/listen
Sat Sep 26,at Boston College Alumni Stadium,"Chestnut Hill, Mass. / Alumni Stadium",NOON,Watch: https://espn.com/watch | Listen Opens in a new window: https://hokiesports.com/listen | Live Stats: https://stats.hokiesports.com/football/live
Fri Oct 2,vs. Hall of Fame / Stripe Effect Pitt Lane Stadium/Worsham Field,"Blacksburg, Va. / Lane Stadium/Worsham Field",7 PM EDT,Watch Opens in a new window: https://espn.com/watch | Sold Out! Buy on SeatGeek: http://seatgeek.com/e/events/18033436?aid=16127&pid=sell_out_page_social&rid=46297&utm_medium=partnership&utm_source=vtech_sponsorship&utm_campaign=integration | Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live | Tailgate Packages Opens in a new window: https://revelxp.com/virginia-tech?utm_source=VirginiaTech&utm_medium=SchoolWebsite&utm_campaign=VirginiaTech_Website
Sat Oct 10,at Cal California Memorial Stadium,"Berkeley, Calif. / California Memorial Stadium",TBA,Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live
Sat Oct 17,vs. Homecoming / Maroon Effect Georgia Tech Lane Stadium/Worsham Field,"Blacksburg, Va. / Lane Stadium/Worsham Field",TBA,Sold Out! Buy on SeatGeek: http://seatgeek.com/e/events/18033437?aid=16127&pid=sell_out_page_social&rid=46312&utm_medium=partnership&utm_source=vtech_sponsorship&utm_campaign=integration | Buy Parking Opens in a new window: https://hokiesports.evenue.net/event/F26/PA4?RSRC=hscom&RDAT=schedule_football_singlegames_gt | Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live | Tailgate Packages Opens in a new window: https://revelxp.com/virginia-tech?utm_source=VirginiaTech&utm_medium=SchoolWebsite&utm_campaign=VirginiaTech_Website
Sat Oct 24,at Clemson Frank Howard Field at Memorial Stadium,"Clemson, S.C. / Frank Howard Field at Memorial Stadium",TBA,Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live
Fri Nov 6,at SMU Gerald J. Ford Stadium,"Dallas, Texas / Gerald J. Ford Stadium",7 PM EST,Watch Opens in a new window: https://espn.com/watch | Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live
Sat Nov 14,vs. Ag Day / Veterans Day / Wear Maroon or Orange Stanford Lane Stadium/Worsham Field,"Blacksburg, Va. / Lane Stadium/Worsham Field",TBA,Buy Tickets Opens in a new window: https://hokiesports.evenue.net/event/F26/05?RSRC=hscom&RDAT=schedule_football_singlegames_stanford | Buy Parking Opens in a new window: https://hokiesports.evenue.net/event/F26/PA5?RSRC=hscom&RDAT=schedule_football_singlegames_stanford | Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live | Tailgate Packages Opens in a new window: https://revelxp.com/virginia-tech?utm_source=VirginiaTech&utm_medium=SchoolWebsite&utm_campaign=VirginiaTech_Website
Sat Nov 21,at Miami Hard Rock Stadium,"Miami Gardens, Fla. / Hard Rock Stadium",TBA,Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live
Sat Nov 28,vs. Senior Day / Maroon Effect Virginia Lane Stadium/Worsham Field,"Blacksburg, Va. / Lane Stadium/Worsham Field",TBA,Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live | Buy Tickets Opens in a new window: https://hokiesports.evenue.net/event/F26/06?RSRC=hscom&RDAT=schedule_football_singlegames_uva | Buy Parking Opens in a new window: https://hokiesports.evenue.net/event/F26/PA6?RSRC=hscom&RDAT=schedule_football_singlegames_uva | Tailgate Packages Opens in a new window: https://revelxp.com/virginia-tech?utm_source=VirginiaTech&utm_medium=SchoolWebsite&utm_campaign=VirginiaTech_Website
Sat Dec 5,ACC Championship Bank of America Stadium,"Charlotte, N.C. / Bank of America Stadium",NOON,Watch Opens in a new window: https://espn.com/watch | Listen Opens in a new window: https://hokiesports.com/listen | Live Stats Opens in a new window: https://stats.hokiesports.com/football/live
